,Municipio,Date,High Temperature,Avg Temperature,Low Temperature,High Dew Point,Avg Dew Point,Low Dew Point,High Humidity,Avg Humidity,Low Humidity,High Speed,Avg Speed,Low Speed,High Pressure,Low Pressure,Sum
28,Villaviciosa de Odón,9/29/2024,79.9,60.2,44.8,46.6,37.9,31.3,72,46,20,8.9,1.5,0.0,30.12,30.01,0.00
29,Villaviciosa de Odón,9/30/2024,85.6,64.3,46.8,43.5,38.5,35.2,71,43,18,7.8,1.3,0.0,30.07,29.93,0.00
0,Villaviciosa de Odón,8/1/2024,99.0,83.3,62.1,51.3,45.1,32.0,52,29,10,13.9,2.8,0.0,29.92,29.80,0.00
1,Villaviciosa de Odón,8/2/2024,94.6,82.1,65.5,62.4,52.8,45.5,56,37,25,17.2,2.8,0.0,29.89,29.79,0.00
2,Villaviciosa de Odón,8/3/2024,98.6,82.8,66.6,57.7,54.1,49.5,68,41,21,16.3,2.2,0.0,29.94,29.82,0.00
3,Villaviciosa de Odón,8/4/2024,100.6,85.5,71.2,60.3,51.2,45.9,43,32,17,13.2,2.6,0.0,29.95,29.82,0.00
4,Villaviciosa de Odón,8/5/2024,100.2,86.5,71.4,58.3,49.0,41.0,47,29,14,15.2,2.9,0.0,29.88,29.76,0.00
5,Villaviciosa de Odón,8/6/2024,100.0,84.2,64.6,52.7,46.5,41.9,50,29,16,15.9,2.6,0.0,29.84,29.74,0.00
6,Villaviciosa de Odón,8/7/2024,100.8,84.0,65.3,56.5,48.0,39.2,53,31,13,13.2,2.1,0.0,29.86,29.78,0.00
7,Villaviciosa de Odón,8/8/2024,103.1,85.6,68.0,56.7,50.3,40.8,60,32,14,11.9,2.2,0.0,29.94,29.83,0.00
8,Villaviciosa de Odón,8/9/2024,102.7,86.8,72.1,56.3,49.8,41.7,47,30,13,14.3,2.7,0.0,30.02,29.90,0.00
9,Villaviciosa de Odón,8/10/2024,100.2,88.5,74.3,53.4,48.6,41.5,45,27,14,20.4,4.6,0.0,30.04,29.89,0.00
10,Villaviciosa de Odón,8/11/2024,99.7,87.5,73.2,55.8,49.1,42.1,44,28,17,19.0,4.1,0.0,29.95,29.78,0.00
11,Villaviciosa de Odón,8/12/2024,97.2,85.9,71.6,56.7,52.4,45.7,54,33,18,15.7,3.9,0.0,29.88,29.75,0.00
12,Villaviciosa de Odón,8/13/2024,86.7,77.6,67.8,67.1,55.9,48.7,79,48,29,19.7,4.1,0.0,29.86,29.76,0.02
13,Villaviciosa de Odón,8/14/2024,89.1,76.4,61.5,57.2,52.9,44.1,75,46,27,13.2,3.2,0.0,29.96,29.84,0.00
14,Villaviciosa de Odón,8/15/2024,90.1,73.7,58.8,52.7,46.6,41.4,66,41,20,12.8,2.9,0.0,30.02,29.92,0.00
15,Villaviciosa de Odón,8/16/2024,94.6,78.7,63.9,57.9,47.8,39.0,62,37,16,12.3,2.0,0.0,30.04,29.92,0.00
16,Villaviciosa de Odón,8/17/2024,96.4,79.8,62.6,55.6,46.8,41.0,48,33,18,14.3,2.7,0.0,30.02,29.86,0.00
17,Villaviciosa de Odón,8/18/2024,96.3,83.0,69.3,58.3,52.9,44.2,60,37,18,15.2,2.9,0.0,29.94,29.83,0.00
18,Villaviciosa de Odón,8/19/2024,96.8,81.0,65.5,56.5,48.5,41.9,49,33,22,11.6,3.3,0.0,29.95,29.82,0.00
19,Villaviciosa de Odón,8/20/2024,98.2,82.9,68.5,52.3,47.0,40.5,47,30,20,11.2,2.2,0.0,29.92,29.83,0.00
20,Villaviciosa de Odón,8/21/2024,98.8,83.1,69.8,59.0,52.7,44.8,58,37,17,13.6,4.7,0.0,30.00,29.84,0.00
21,Villaviciosa de Odón,8/22/2024,96.8,84.3,71.6,61.9,54.4,40.5,61,38,20,14.5,3.1,0.0,29.94,29.83,0.00
22,Villaviciosa de Odón,8/23/2024,98.4,82.1,64.0,58.5,46.9,38.1,48,31,19,26.8,2.8,0.0,29.94,29.83,0.00
23,Villaviciosa de Odón,8/24/2024,95.4,82.3,70.3,62.4,54.1,45.7,60,40,22,15.2,3.5,0.0,29.91,29.83,0.00
24,Villaviciosa de Odón,8/25/2024,95.5,80.6,67.6,65.3,54.1,45.0,66,43,19,15.4,3.4,0.0,29.99,29.81,0.00
25,Villaviciosa de Odón,8/26/2024,93.6,79.7,69.1,64.9,57.4,50.5,68,49,25,10.7,2.5,0.0,29.96,29.81,0.00
26,Villaviciosa de Odón,8/27/2024,95.0,81.6,68.2,64.4,52.8,45.9,65,39,19,13.9,2.5,0.0,29.89,29.77,0.00
27,Villaviciosa de Odón,8/28/2024,97.7,81.4,63.9,56.5,50.5,43.3,56,36,23,13.2,2.1,0.0,29.86,29.73,0.00
28,Villaviciosa de Odón,8/29/2024,83.5,74.6,65.3,67.6,62.5,50.7,92,68,36,20.1,3.6,0.0,29.92,29.78,0.47
29,Villaviciosa de Odón,8/30/2024,89.4,76.0,67.8,66.4,63.1,60.1,87,67,39,14.8,3.3,0.0,29.91,29.76,0.01
30,Villaviciosa de Odón,8/31/2024,83.5,73.0,64.9,64.4,61.0,57.9,81,67,49,15.2,3.8,0.0,29.90,29.78,0.01
0,Villaviciosa de Odón,7/1/2024,87.6,72.3,57.2,57.6,52.6,46.0,85,54,27,13.2,2.3,0.0,30.10,29.95,0.00
1,Villaviciosa de Odón,7/2/2024,91.2,74.6,56.7,54.3,51.1,47.3,78,47,26,16.6,2.3,0.0,30.13,29.95,0.00
2,Villaviciosa de Odón,7/3/2024,95.0,77.5,55.6,51.8,45.7,38.1,67,35,19,11.6,2.0,0.0,30.04,29.88,0.00
3,Villaviciosa de Odón,7/4/2024,99.1,81.9,65.1,53.6,48.4,44.2,56,34,17,8.7,1.5,0.0,29.97,29.85,0.00
4,Villaviciosa de Odón,7/5/2024,98.8,84.5,68.7,55.9,52.2,47.1,58,35,20,18.8,3.3,0.0,29.92,29.73,0.00
5,Villaviciosa de Odón,7/6/2024,90.3,80.9,70.7,59.2,53.6,47.5,59,40,24,19.5,4.7,0.0,29.86,29.74,0.00
6,Villaviciosa de Odón,7/7/2024,87.1,75.1,62.6,59.0,50.1,34.3,75,47,16,12.8,3.9,0.0,29.90,29.83,0.00
7,Villaviciosa de Odón,7/8/2024,90.0,75.7,56.3,48.4,44.4,39.4,67,36,19,15.0,2.6,0.0,29.96,29.82,0.00
8,Villaviciosa de Odón,7/9/2024,89.2,76.1,62.1,53.2,46.6,39.2,56,37,23,16.3,3.4,0.0,29.96,29.87,0.00
9,Villaviciosa de Odón,7/10/2024,92.7,78.7,61.5,60.1,54.8,46.0,73,45,31,13.4,2.9,0.0,30.03,29.95,0.00
10,Villaviciosa de Odón,7/11/2024,95.2,81.7,64.8,61.2,56.4,52.5,70,45,25,17.9,4.5,0.0,30.01,29.90,0.00
11,Villaviciosa de Odón,7/12/2024,92.3,79.1,61.7,53.6,47.7,41.2,64,36,18,12.8,2.1,0.0,29.96,29.81,0.00
12,Villaviciosa de Odón,7/13/2024,91.4,78.6,64.6,58.6,48.7,36.3,61,39,15,17.2,4.0,0.0,29.85,29.73,0.00
13,Villaviciosa de Odón,7/14/2024,88.9,78.0,65.1,47.5,36.4,21.4,42,24,10,18.1,4.8,0.0,29.88,29.79,0.00
14,Villaviciosa de Odón,7/15/2024,85.1,75.5,65.8,62.8,53.5,37.2,69,48,27,20.8,5.7,0.0,29.95,29.84,0.00
15,Villaviciosa de Odón,7/16/2024,91.2,74.7,55.6,52.5,42.4,20.3,73,38,8,13.2,2.1,0.0,30.00,29.90,0.00
16,Villaviciosa de Odón,7/17/2024,96.6,77.3,56.3,59.7,44.0,33.4,55,34,15,13.6,2.3,0.0,30.00,29.90,0.00
17,Villaviciosa de Odón,7/18/2024,96.1,80.6,62.8,62.8,48.6,40.3,66,36,15,15.2,2.3,0.0,30.05,29.94,0.00
18,Villaviciosa de Odón,7/19/2024,99.5,83.2,63.0,53.2,46.4,37.2,56,31,12,15.7,3.0,0.0,30.05,29.91,0.00
19,Villaviciosa de Odón,7/20/2024,94.6,79.9,61.0,56.5,48.7,41.9,55,35,18,18.8,4.5,0.0,29.93,29.74,0.00
20,Villaviciosa de Odón,7/21/2024,93.6,78.8,66.4,57.2,48.3,35.1,62,38,16,17.9,3.9,0.0,29.97,29.81,0.00
21,Villaviciosa de Odón,7/22/2024,96.8,79.0,58.3,46.9,36.5,17.6,62,27,6,12.1,2.5,0.0,30.07,29.97,0.00
22,Villaviciosa de Odón,7/23/2024,101.3,86.3,70.3,58.8,49.2,37.0,47,30,16,10.1,2.6,0.0,30.10,29.98,0.00
23,Villaviciosa de Odón,7/24/2024,105.1,89.6,75.4,55.4,51.4,44.8,44,29,17,10.7,2.7,0.0,30.03,29.85,0.00
24,Villaviciosa de Odón,7/25/2024,102.6,88.8,73.4,55.2,50.0,43.3,47,28,15,17.2,2.7,0.0,29.89,29.69,0.00
25,Villaviciosa de Odón,7/26/2024,99.7,86.0,73.0,61.5,56.4,42.1,63,38,21,16.3,3.1,0.0,29.82,29.71,0.00
26,Villaviciosa de Odón,7/27/2024,100.2,86.6,73.0,60.1,55.7,49.5,60,37,19,12.3,2.7,0.0,29.88,29.77,0.00
27,Villaviciosa de Odón,7/28/2024,100.2,88.0,72.3,57.4,53.4,49.8,50,32,19,17.4,5.1,0.0,29.97,29.83,0.00
28,Villaviciosa de Odón,7/29/2024,97.9,85.2,76.1,60.4,56.5,52.5,49,38,25,18.6,3.7,0.0,30.04,29.86,0.00
29,Villaviciosa de Odón,7/30/2024,100.4,86.5,73.2,56.5,53.5,48.7,53,34,20,15.4,4.1,0.0,29.98,29.84,0.00
30,Villaviciosa de Odón,7/31/2024,97.7,83.5,65.7,55.8,50.6,43.0,60,35,16,16.6,3.3,0.0,29.95,29.86,0.00
0,Villaviciosa de Odón,6/1/2024,80.6,67.0,53.4,50.2,42.4,37.8,56,42,26,17.9,5.6,0.0,30.00,29.87,0.00
1,Villaviciosa de Odón,6/2/2024,83.5,67.6,54.3,47.1,40.6,30.0,62,40,16,18.3,4.9,0.0,30.05,29.92,0.00
2,Villaviciosa de Odón,6/3/2024,85.3,71.6,58.6,53.4,47.6,37.0,60,44,27,11.9,4.1,0.0,30.00,29.88,0.00
3,Villaviciosa de Odón,6/4/2024,88.9,74.2,59.4,54.7,51.6,45.7,76,49,24,12.8,2.7,0.0,29.96,29.85,0.00
4,Villaviciosa de Odón,6/5/2024,91.8,76.8,59.2,53.4,49.0,45.5,63,40,21,15.4,2.4,0.0,29.98,29.88,0.00
5,Villaviciosa de Odón,6/6/2024,97.0,77.6,60.4,62.2,50.7,43.7,68,42,19,20.6,2.7,0.0,29.98,29.87,0.06
6,Villaviciosa de Odón,6/7/2024,91.4,78.2,67.5,64.4,52.3,44.2,83,44,23,28.4,4.1,0.0,29.99,29.79,0.13
7,Villaviciosa de Odón,6/8/2024,77.5,65.9,59.5,61.2,58.1,50.7,92,77,40,16.1,3.0,0.0,29.89,29.76,0.28
8,Villaviciosa de Odón,6/9/2024,72.7,65.3,57.9,60.8,57.2,54.5,92,76,53,11.6,3.0,0.0,29.86,29.78,0.00
9,Villaviciosa de Odón,6/10/2024,68.5,61.9,56.1,59.5,56.1,53.2,95,82,63,9.8,2.3,0.0,29.93,29.82,0.79
10,Villaviciosa de Odón,6/11/2024,80.1,65.4,51.1,53.6,46.7,37.6,81,54,23,12.3,2.6,0.0,29.98,29.89,0.00
11,Villaviciosa de Odón,6/12/2024,76.5,64.9,55.2,58.3,46.9,40.3,74,54,29,15.7,3.8,0.0,30.07,29.95,0.06
12,Villaviciosa de Odón,6/13/2024,82.8,68.4,54.3,52.5,45.0,40.5,65,45,24,15.4,3.9,0.0,30.09,29.97,0.00
13,Villaviciosa de Odón,6/14/2024,85.5,71.1,52.2,53.1,44.6,32.4,81,44,17,18.1,4.5,0.0,30.02,29.85,0.00
14,Villaviciosa de Odón,6/15/2024,83.1,71.4,55.9,55.4,45.6,34.9,84,44,21,14.8,3.8,0.0,29.92,29.85,0.00
15,Villaviciosa de Odón,6/16/2024,85.1,71.3,52.2,47.7,42.7,35.4,69,39,23,14.3,2.8,0.0,29.93,29.82,0.00
16,Villaviciosa de Odón,6/17/2024,85.1,71.5,52.5,53.4,46.7,42.1,76,44,24,16.3,3.2,0.0,29.91,29.80,0.00
17,Villaviciosa de Odón,6/18/2024,76.5,66.3,57.6,57.4,52.3,48.0,94,62,38,15.2,2.7,0.0,29.93,29.81,0.07
18,Villaviciosa de Odón,6/19/2024,75.2,63.2,52.9,57.2,51.3,43.7,97,70,34,14.3,2.7,0.0,29.96,29.87,0.01
19,Villaviciosa de Odón,6/20/2024,68.5,60.1,53.4,55.8,51.0,49.1,89,73,53,17.2,3.2,0.0,30.08,29.92,0.32
20,Villaviciosa de Odón,6/21/2024,83.7,68.6,52.0,53.2,49.8,45.1,90,55,30,18.3,2.1,0.0,30.15,30.06,0.00
21,Villaviciosa de Odón,6/22/2024,86.9,71.6,53.1,54.3,48.6,44.4,83,48,24,18.1,3.6,0.0,30.15,30.03,0.00
22,Villaviciosa de Odón,6/23/2024,88.9,75.2,61.3,58.5,53.1,46.2,69,47,33,12.1,2.3,0.0,30.08,29.90,0.00
23,Villaviciosa de Odón,6/24/2024,92.7,76.9,62.2,59.2,55.3,49.6,75,50,26,10.5,2.5,0.0,29.97,29.78,0.00
24,Villaviciosa de Odón,6/25/2024,95.0,78.0,63.9,72.9,57.3,48.6,85,52,22,14.3,2.4,0.0,29.86,29.71,0.18
25,Villaviciosa de Odón,6/26/2024,86.5,73.6,66.2,66.0,60.8,56.3,91,66,41,15.9,3.1,0.0,29.86,29.74,0.43
26,Villaviciosa de Odón,6/27/2024,91.9,77.1,63.9,60.6,56.3,50.2,84,53,26,14.8,3.1,0.0,29.90,29.78,0.00
27,Villaviciosa de Odón,6/28/2024,79.5,71.5,62.4,61.3,54.7,48.6,85,56,36,17.4,4.7,0.0,29.97,29.88,0.00
28,Villaviciosa de Odón,6/29/2024,74.3,65.1,59.5,60.8,57.6,55.4,91,77,59,17.4,5.6,0.0,29.96,29.90,0.03
29,Villaviciosa de Odón,6/30/2024,79.0,68.8,60.6,58.6,55.6,49.3,90,65,38,13.2,2.6,0.0,29.99,29.91,0.00
0,Villaviciosa de Odón,5/1/2024,57.4,49.7,43.2,48.6,38.1,27.7,90,67,33,20.1,6.2,0.0,29.92,29.78,0.03
1,Villaviciosa de Odón,5/2/2024,59.4,49.6,40.1,39.4,35.9,31.8,78,61,40,14.8,4.3,0.0,30.04,29.91,0.00
2,Villaviciosa de Odón,5/3/2024,65.5,52.2,34.3,43.7,38.7,31.6,92,63,38,14.3,2.8,0.0,30.10,30.01,0.00
3,Villaviciosa de Odón,5/4/2024,73.2,59.0,42.8,47.8,43.9,37.2,89,60,30,17.9,4.0,0.0,30.06,29.95,0.00
4,Villaviciosa de Odón,5/5/2024,65.8,60.1,54.3,55.2,51.0,46.0,94,73,55,17.2,5.0,0.0,30.00,29.86,0.24
5,Villaviciosa de Odón,5/6/2024,69.6,58.3,52.2,55.2,48.8,37.4,96,74,35,13.6,3.1,0.0,30.00,29.85,0.05
6,Villaviciosa de Odón,5/7/2024,75.4,57.9,40.5,45.1,40.8,34.3,89,57,30,13.2,2.2,0.0,30.13,29.99,0.00
7,Villaviciosa de Odón,5/8/2024,78.1,61.4,45.9,43.3,37.6,27.1,76,46,16,15.4,3.1,0.0,30.17,30.02,0.00
8,Villaviciosa de Odón,5/9/2024,81.1,64.9,48.9,48.4,42.2,35.4,75,48,20,7.8,1.4,0.0,30.07,29.95,0.00
9,Villaviciosa de Odón,5/10/2024,85.1,67.3,50.5,49.8,45.0,40.3,77,49,22,10.7,1.8,0.0,30.02,29.88,0.00
10,Villaviciosa de Odón,5/11/2024,82.4,68.3,53.1,50.0,44.1,38.5,67,44,22,14.3,3.1,0.0,29.98,29.89,0.00
11,Villaviciosa de Odón,5/12/2024,82.8,67.8,52.3,52.9,48.0,44.8,80,52,28,11.9,1.9,0.0,29.99,29.89,0.00
12,Villaviciosa de Odón,5/13/2024,80.6,67.7,50.2,53.6,49.1,44.6,84,54,32,18.8,4.2,0.0,29.93,29.71,0.00
13,Villaviciosa de Odón,5/14/2024,66.9,58.6,50.4,54.1,41.7,37.0,86,55,38,19.0,6.9,0.0,29.79,29.71,0.02
14,Villaviciosa de Odón,5/15/2024,64.6,55.7,45.5,39.9,36.1,28.2,74,49,27,16.1,4.3,0.0,29.79,29.73,0.00
15,Villaviciosa de Odón,5/16/2024,63.5,54.5,46.2,41.2,38.6,33.3,77,56,34,18.1,4.5,0.0,29.81,29.74,0.00
16,Villaviciosa de Odón,5/17/2024,67.1,57.6,49.6,50.0,45.2,38.8,93,65,42,20.4,4.1,0.0,29.84,29.73,0.00
17,Villaviciosa de Odón,5/18/2024,71.8,57.8,41.2,45.3,40.5,33.4,88,57,26,15.7,2.2,0.0,29.87,29.77,0.00
18,Villaviciosa de Odón,5/19/2024,70.9,57.4,43.3,46.6,41.8,31.3,87,59,24,22.4,3.5,0.0,29.84,29.74,0.00
19,Villaviciosa de Odón,5/20/2024,69.1,56.5,41.7,47.3,42.3,38.1,88,61,37,16.8,2.7,0.0,29.89,29.81,0.00
20,Villaviciosa de Odón,5/21/2024,66.7,57.3,50.9,50.4,46.0,41.9,83,67,42,17.7,2.6,0.0,30.02,29.88,0.05
21,Villaviciosa de Odón,5/22/2024,71.1,58.7,45.7,46.2,43.0,36.9,88,59,33,17.4,3.0,0.0,30.05,29.95,0.00
22,Villaviciosa de Odón,5/23/2024,77.2,61.8,42.1,44.1,38.8,28.9,84,47,18,14.3,2.2,0.0,30.04,29.91,0.00
23,Villaviciosa de Odón,5/24/2024,81.3,67.2,52.5,49.8,44.0,36.3,70,46,21,14.3,3.1,0.0,29.99,29.89,0.00
24,Villaviciosa de Odón,5/25/2024,83.7,67.5,47.7,49.5,38.4,24.6,75,41,12,17.4,3.6,0.0,30.02,29.93,0.00
25,Villaviciosa de Odón,5/26/2024,82.8,67.5,47.8,48.7,43.0,37.6,72,44,22,15.9,3.5,0.0,30.03,29.92,0.00
26,Villaviciosa de Odón,5/27/2024,86.7,70.2,51.3,49.8,45.1,38.7,76,45,19,12.3,2.2,0.0,30.02,29.94,0.00
27,Villaviciosa de Odón,5/28/2024,88.7,73.0,59.4,56.3,50.6,46.4,68,47,25,10.1,2.4,0.0,30.09,29.97,0.00
28,Villaviciosa de Odón,5/29/2024,93.9,77.8,61.5,53.1,48.0,44.2,57,37,21,10.5,2.1,0.0,30.04,29.89,0.00
29,Villaviciosa de Odón,5/30/2024,93.6,78.7,62.2,57.6,50.4,45.9,61,39,22,14.8,3.1,0.0,29.94,29.77,0.00
30,Villaviciosa de Odón,5/31/2024,88.0,72.7,58.8,56.1,40.6,33.1,56,33,19,15.4,5.1,0.0,29.92,29.79,0.00
0,Villaviciosa de Odón,4/1/2024,55.2,45.5,38.7,43.5,39.5,36.3,94,81,56,18.6,5.9,0.0,29.93,29.54,0.05
1,Villaviciosa de Odón,4/2/2024,58.3,48.2,36.5,46.6,41.5,35.2,96,79,59,10.7,2.2,0.0,29.98,29.87,0.00
2,Villaviciosa de Odón,4/3/2024,64.4,54.4,47.1,48.7,45.1,41.7,93,72,47,15.2,3.2,0.0,30.02,29.91,0.00
3,Villaviciosa de Odón,4/4/2024,68.7,54.7,40.6,53.2,45.9,38.7,94,75,45,10.1,1.4,0.0,30.02,29.89,0.00
4,Villaviciosa de Odón,4/5/2024,76.1,59.6,46.2,50.0,46.4,39.4,92,66,32,10.3,2.2,0.0,29.95,29.79,0.00
5,Villaviciosa de Odón,4/6/2024,76.5,64.0,52.2,54.7,46.2,41.0,76,54,30,8.5,2.1,0.0,29.89,29.76,0.00
6,Villaviciosa de Odón,4/7/2024,71.1,61.8,53.1,53.1,50.5,45.7,87,68,42,14.3,2.6,0.0,29.89,29.77,0.00
7,Villaviciosa de Odón,4/8/2024,62.4,54.8,47.8,51.1,45.1,33.8,92,71,42,18.6,6.0,0.0,29.98,29.76,0.03
8,Villaviciosa de Odón,4/9/2024,63.0,50.8,41.9,38.5,32.2,27.9,73,51,30,17.4,3.8,0.0,30.26,29.97,0.00
9,Villaviciosa de Odón,4/10/2024,71.8,54.6,38.5,46.9,39.1,33.3,82,58,36,8.9,1.7,0.0,30.28,30.18,0.00
10,Villaviciosa de Odón,4/11/2024,83.1,62.4,42.6,54.7,46.3,39.4,90,59,32,14.8,2.0,0.0,30.25,30.15,0.00
11,Villaviciosa de Odón,4/12/2024,80.2,62.3,44.1,50.2,42.1,36.9,80,51,29,9.6,1.6,0.0,30.32,30.20,0.00
12,Villaviciosa de Odón,4/13/2024,82.8,63.6,45.3,50.2,44.2,37.2,88,56,22,7.2,1.3,0.0,30.26,30.12,0.00
13,Villaviciosa de Odón,4/14/2024,81.0,64.7,48.9,49.6,44.3,37.4,81,52,24,8.9,1.5,0.0,30.17,30.03,0.00
